Post_ID,Date,Platform,Post_Type,Likes,Comments,Shares,Reach,Total_Engagement,Engagement_Rate (%)
POST_0475,2026-01-28,LinkedIn,Image,856,18,121,6719,995,14.81
POST_0437,2026-01-28,LinkedIn,Carousel,1119,100,27,3574,1246,34.86
POST_0123,2026-01-28,Instagram,Image,783,246,138,1324,1167,88.14
POST_0194,2026-01-29,LinkedIn,Image,148,177,71,8242,396,4.8
POST_0065,2026-01-29,LinkedIn,Text,183,221,66,4196,470,11.2
POST_0248,2026-01-29,Instagram,Video,1395,100,126,8451,1621,19.18
POST_0481,2026-01-29,Facebook,Image,729,184,15,7315,928,12.69
POST_0019,2026-01-29,Instagram,Video,380,215,103,3712,698,18.8
POST_0220,2026-01-30,LinkedIn,Video,106,125,20,4422,251,5.68
POST_0168,2026-01-30,Instagram,Video,516,227,16,5810,759,13.06
POST_0477,2026-01-31,Instagram,Video,157,22,64,7468,243,3.25
POST_0069,2026-01-31,Facebook,Video,355,86,153,4869,594,12.2
POST_0315,2026-01-31,Instagram,Video,1403,121,159,3349,1683,50.25
POST_0403,2026-02-01,Instagram,Video,841,77,47,7364,965,13.1
POST_0599,2026-02-01,Instagram,Text,363,29,89,9777,481,4.92
POST_0124,2026-02-01,Instagram,Carousel,628,22,102,4332,752,17.36
POST_0104,2026-02-01,LinkedIn,Video,797,108,140,1114,1045,93.81
POST_0405,2026-02-02,Instagram,Carousel,424,68,27,8286,519,6.26
POST_0323,2026-02-02,Instagram,Video,681,188,78,2805,947,33.76
POST_0242,2026-02-03,Instagram,Carousel,559,143,142,3593,844,23.49
POST_0590,2026-02-03,Facebook,Video,1100,214,94,6451,1408,21.83
POST_0374,2026-02-04,Facebook,Image,1436,88,55,5666,1579,27.87
POST_0399,2026-02-04,LinkedIn,Image,555,93,36,1102,684,62.07
POST_0304,2026-02-04,LinkedIn,Carousel,1265,121,56,8899,1442,16.2
POST_0057,2026-02-04,LinkedIn,Image,149,198,131,4243,478,11.27
POST_0512,2026-02-04,LinkedIn,Video,567,198,156,3505,921,26.28
POST_0092,2026-02-05,Facebook,Video,1008,108,28,1199,1144,95.41
POST_0558,2026-02-05,Instagram,Image,324,143,4,1158,471,40.67
POST_0049,2026-02-05,Facebook,Text,1110,168,63,1696,1341,79.07
POST_0254,2026-02-05,Instagram,Video,1263,135,8,612,1406,229.74
POST_0587,2026-02-05,Facebook,Image,872,208,76,1134,1156,101.94
POST_0467,2026-02-06,Facebook,Video,1090,55,101,7472,1246,16.68
POST_0236,2026-02-07,Facebook,Image,1271,228,66,5486,1565,28.53
POST_0505,2026-02-08,Instagram,Text,631,190,159,3953,980,24.79
POST_0185,2026-02-08,LinkedIn,Video,573,35,91,1180,699,59.24
POST_0109,2026-02-08,LinkedIn,Carousel,1296,111,122,3575,1529,42.77
POST_0495,2026-02-08,Instagram,Video,375,169,6,7581,550,7.25
POST_0538,2026-02-08,Instagram,Video,709,169,24,692,902,130.35
POST_0415,2026-02-09,Instagram,Image,602,73,30,9136,705,7.72
POST_0144,2026-02-09,Instagram,Text,474,155,27,9827,656,6.68
POST_0366,2026-02-09,LinkedIn,Video,1448,36,99,1359,1583,116.48
POST_0540,2026-02-09,LinkedIn,Video,658,114,44,4145,816,19.69
POST_0074,2026-02-10,Facebook,Video,918,144,49,1605,1111,69.22
POST_0048,2026-02-10,Instagram,Image,153,7,37,2176,197,9.05
POST_0004,2026-02-11,Instagram,Video,168,100,98,6602,366,5.54
POST_0129,2026-02-11,Facebook,Image,1423,157,124,3656,1704,46.61
POST_0087,2026-02-11,LinkedIn,Image,1055,132,34,7923,1221,15.41
POST_0396,2026-02-11,LinkedIn,Image,1424,133,20,2493,1577,63.26
POST_0032,2026-02-11,Facebook,Image,425,169,164,4119,758,18.4
POST_0077,2026-02-11,Instagram,Image,1068,105,124,8845,1297,14.66
POST_0446,2026-02-12,Instagram,Video,759,142,53,2568,954,37.15
POST_0478,2026-02-12,Facebook,Carousel,69,52,83,3273,204,6.23
POST_0318,2026-02-13,LinkedIn,Video,682,143,177,4349,1002,23.04
POST_0545,2026-02-13,LinkedIn,Text,963,144,94,4200,1201,28.6
POST_0353,2026-02-13,LinkedIn,Image,1154,150,120,869,1424,163.87
POST_0044,2026-02-14,LinkedIn,Carousel,613,98,125,6222,836,13.44
POST_0337,2026-02-14,Instagram,Video,480,121,104,6624,705,10.64
POST_0424,2026-02-15,LinkedIn,Video,785,13,86,8197,884,10.78
POST_0552,2026-02-15,LinkedIn,Text,184,203,56,7760,443,5.71
POST_0372,2026-02-16,Facebook,Image,131,9,176,8842,316,3.57
POST_0526,2026-02-17,Instagram,Video,925,147,95,738,1167,158.13
POST_0287,2026-02-17,Instagram,Image,292,171,38,7696,501,6.51
POST_0024,2026-02-17,LinkedIn,Video,468,80,117,8094,665,8.22
POST_0307,2026-02-17,Instagram,Image,799,62,80,6809,941,13.82
POST_0041,2026-02-17,LinkedIn,Carousel,580,132,145,2869,857,29.87
POST_0007,2026-02-17,Facebook,Image,997,64,72,9975,1133,11.36
POST_0027,2026-02-18,Instagram,Image,1450,93,160,6473,1703,26.31
POST_0299,2026-02-18,LinkedIn,Image,1478,122,12,2488,1612,64.79
POST_0448,2026-02-18,Instagram,Video,202,231,52,3168,485,15.31
POST_0541,2026-02-19,Instagram,Image,1442,226,82,6814,1750,25.68
POST_0466,2026-02-19,Facebook,Video,679,108,110,9928,897,9.04
POST_0430,2026-02-19,Facebook,Carousel,79,125,35,8826,239,2.71
POST_0082,2026-02-20,Instagram,Text,1013,199,124,2413,1336,55.37
POST_0479,2026-02-20,LinkedIn,Image,992,60,118,2200,1170,53.18
POST_0327,2026-02-20,LinkedIn,Carousel,879,197,58,9869,1134,11.49
POST_0344,2026-02-20,Instagram,Image,38,177,37,582,252,43.3
POST_0210,2026-02-20,LinkedIn,Video,964,67,113,8734,1144,13.1
POST_0569,2026-02-21,Instagram,Image,1036,156,121,3107,1313,42.26
POST_0338,2026-02-21,LinkedIn,Video,297,128,48,8975,473,5.27
POST_0361,2026-02-22,LinkedIn,Image,1147,246,146,4176,1539,36.85
POST_0306,2026-02-23,Facebook,Video,516,182,30,6255,728,11.64
POST_0305,2026-02-23,Instagram,Carousel,58,167,24,6133,249,4.06
POST_0597,2026-02-23,Instagram,Video,1129,153,47,3806,1329,34.92
POST_0165,2026-02-23,Instagram,Video,183,202,45,652,430,65.95
POST_0127,2026-02-23,Instagram,Carousel,120,163,91,1880,374,19.89
POST_0148,2026-02-24,Instagram,Image,405,190,163,3950,758,19.19
POST_0559,2026-02-24,Facebook,Image,390,211,83,5557,684,12.31
POST_0154,2026-02-24,Instagram,Video,1466,179,97,2491,1742,69.93
POST_0310,2026-02-24,LinkedIn,Image,168,210,73,2018,451,22.35
POST_0106,2026-02-24,Instagram,Carousel,661,5,108,770,774,100.52
POST_0155,2026-02-24,Facebook,Image,920,135,10,8963,1065,11.88
POST_0503,2026-02-25,LinkedIn,Video,811,110,110,4130,1031,24.96
POST_0455,2026-02-25,LinkedIn,Video,782,149,164,4106,1095,26.67
POST_0142,2026-02-25,Facebook,Image,111,149,84,3249,344,10.59
POST_0600,2026-02-25,Instagram,Text,1337,22,75,9971,1434,14.38
POST_0544,2026-02-26,Instagram,Video,1191,244,67,7874,1502,19.08
POST_0159,2026-02-26,Instagram,Carousel,261,122,139,9668,522,5.4
POST_0308,2026-02-26,LinkedIn,Video,1276,165,22,4617,1463,31.69
POST_0382,2026-02-28,Instagram,Video,1055,16,137,5397,1208,22.38
POST_0346,2026-02-28,Facebook,Image,432,13,87,8317,532,6.4
POST_0295,2026-03-01,Instagram,Text,809,64,38,701,911,129.96
POST_0285,2026-03-01,LinkedIn,Text,541,180,158,5355,879,16.41
POST_0111,2026-03-01,LinkedIn,Carousel,476,20,178,8620,674,7.82
POST_0464,2026-03-01,LinkedIn,Image,217,63,152,3354,432,12.88
POST_0490,2026-03-01,Instagram,Video,68,78,133,9337,279,2.99
POST_0102,2026-03-01,LinkedIn,Image,306,125,164,4816,595,12.35
POST_0438,2026-03-02,LinkedIn,Carousel,561,169,53,8812,783,8.89
POST_0470,2026-03-02,Instagram,Carousel,143,10,115,3094,268,8.66
POST_0119,2026-03-03,LinkedIn,Carousel,902,130,173,8945,1205,13.47
POST_0509,2026-03-03,Facebook,Image,1407,91,58,6128,1556,25.39
POST_0059,2026-03-03,Facebook,Carousel,1249,12,108,4922,1369,27.81
POST_0316,2026-03-03,LinkedIn,Carousel,257,53,113,2242,423,18.87
POST_0533,2026-03-04,LinkedIn,Carousel,615,83,16,6660,714,10.72
POST_0370,2026-03-04,Instagram,Carousel,1109,225,140,4517,1474,32.63
POST_0143,2026-03-04,LinkedIn,Video,1001,163,7,7180,1171,16.31
POST_0326,2026-03-05,LinkedIn,Image,553,42,3,3142,598,19.03
POST_0115,2026-03-05,Facebook,Video,168,140,159,7271,467,6.42
POST_0252,2026-03-05,LinkedIn,Image,1011,116,103,7791,1230,15.79
